articleNo,articleName,realEstateTypeName,tradeTypeName,floorInfo,isPriceModification,dealOrWarrantPrc,areaName,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,tagList,buildingName,sameAddrCnt,sameAddrMaxPrc,sameAddrMinPrc,pyeongs,provinceNo,provinceName,districtNo,districtName,dongNo,dongName,complexNo,realEstateType,complexName,complexLatitude,complexLongitude,complexTypeName,totalHouseHoldCount,totalDongCount,useApproveYmd,minArea,maxArea
2433812462,개포더샵트리에,아파트,전세,3/16,False,14억,135C,135.0,108.0,남동향,20240709,40 햇살맛집 초중고인접 대치동인접 더블역세권 조용하고 아늑합니다,"['4년이내', '융자금없는', '역세권', '대형평수']",902동,4.0,14억,14억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433741449,개포더샵트리에,아파트,매매,7/16,False,27억,132A,132.0,105.0,남향,20240709,주인직접  최강입지  학세권 역세권 숲세권 갭투가능,"['4년이내', '역세권', '대형평수', '방네개이상']",901동,7.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433295037,개포더샵트리에,아파트,매매,15/16,False,28억,135C,135.0,108.0,남향,20240706,41 주인직접 트인뷰 전망최고 ,"['4년이내', '역세권', '대형평수', '방네개이상']",902동,4.0,28억,28억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433098026,개포더샵트리에,아파트,매매,3/16,False,27억,135C,135.0,108.0,동향,20240705,"41C 막힘 없는 뷰, 갭투자 가능, 초중고 바로 앞, 투자가치 우수","['4년이내', '역세권', '대형평수', '방네개이상']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433693027,개포더샵트리에,아파트,전세,고/16,False,17억,132B,132.0,105.0,북동향,20240709,진성매물.주인직접 최고의 양면창뷰  집보시면  다른집 못봐요 구룡역코앞,"['4년이내', '융자금없는', '역세권', '대형평수']",901동,4.0,17억,15억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433455431,개포더샵트리에,아파트,매매,저/16,False,27억,135A,135.0,108.0,남향,20240708,주인직접  갭투자가능  거주하기 좋고 투자가치 있는 트리에로 오세요,"['4년이내', '역세권', '대형평수', '방네개이상']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432226357,개포더샵트리에,아파트,매매,5/16,False,"28억 5,000",135A,135.0,108.0,남동향,20240701,"41A 역세권, 햇살 좋은 남향, 초중고 바로 앞 위치, 갭투자 가능","['4년이내', '역세권', '대형평수', '방네개이상']",902동,2.0,"28억 5,000","28억 5,000","{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433445635,개포더샵트리에,아파트,매매,저/16,False,27억,132A,132.0,105.0,남향,20240708,구룡역세권 개일초 구룡중학군 교통 입지 최고,"['4년이내', '역세권', '대형평수', '방세개']",901동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432665925,개포더샵트리에,아파트,매매,저/16,False,26억,135A,135.0,108.0,남동향,20240703,"41A 초중고 바로 앞 위치, 3호선 분당선 이용 편리, 갭투자 가능","['4년이내', '역세권', '대형평수', '방네개이상']",902동,1.0,26억,26억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2432334224,개포더샵트리에,아파트,매매,중/16,False,32억,132B,132.0,105.0,북동향,20240701,매매가 협의가능,"['4년이내', '역세권', '대형평수', '방네개이상']",901동,1.0,32억,32억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431751079,개포더샵트리에,아파트,매매,저/16,False,27억,132A,132.0,105.0,남향,20240628,신축으로깨긋하고 학교와 학원다니기에 편리한 아파트,"['4년이내', '역세권', '대형평수', '방네개이상']",901동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433456307,개포더샵트리에,아파트,전세,중/16,False,"13억 5,000",135C,135.0,108.0,남향,20240708,41 주인직접 탁트인뷰 상태최상 장기거주가 ,"['4년이내', '융자금없는', '역세권', '대형평수']",902동,1.0,"13억 5,000","13억 5,000","{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433531855,개포더샵트리에,아파트,전세,중/16,False,"13억 5,000",135A,135.0,108.0,남향,20240708,신축 내부 풀에어컨 로얄동 로얄층 전세매물,"['4년이내', '역세권', '대형평수', '방세개']",902동,1.0,"13억 5,000","13억 5,000","{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2431305896,개포더샵트리에,아파트,매매,고/16,False,27억,135A,135.0,108.0,남동향,20240626,"41A 갭투자 가능, 역세권, 초중고 바로 앞 위치, 투자가치 우수.","['4년이내', '역세권', '대형평수', '방네개이상']",902동,1.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
2433243066,개포더샵트리에,아파트,매매,중/16,False,27억,132A,132.0,105.0,남향,20240706,풀에어컨 정원조망굿 더블역세권 초중고 1분거리 ,"['4년이내', '마당', '역세권', '대형평수']",901동,2.0,27억,27억,"{""1"": ""105.8"", ""3"": ""105.82"", ""2"": ""108.09"", ""5"": ""108.2"", ""4"": ""107.13""}",1100000000,서울시,1168000000,강남구,1168010300,개포동,881,APT,개포더샵트리에,37.484809,127.057097,아파트,232.0,2.0,202112,132.23,135.57
